dateTime,Duration,State
2022-03-11T01:31:00.000,300,wake
2022-03-11T01:36:00.000,600,light
2022-03-11T01:46:00.000,2340,deep
2022-03-11T02:25:00.000,90,light
2022-03-11T02:26:30.000,420,wake
2022-03-11T02:33:30.000,1020,light
2022-03-11T02:50:30.000,1440,deep
2022-03-11T03:14:30.000,2010,light
2022-03-11T03:48:00.000,1710,rem
2022-03-11T04:16:30.000,960,light
2022-03-11T04:32:30.000,900,deep
2022-03-11T04:47:30.000,2910,light
2022-03-11T05:36:00.000,1170,rem
2022-03-11T05:55:30.000,330,light
2022-03-11T06:01:00.000,270,rem
2022-03-11T06:05:30.000,2730,light
2022-03-11T06:51:00.000,420,deep
2022-03-11T06:58:00.000,300,wake
2022-03-11T07:03:00.000,300,light
2022-03-11T07:08:00.000,1350,rem
2022-03-11T07:30:30.000,1140,wake
