dateTime,Duration,State
2021-11-08T00:02:00.000,1620,wake
2021-11-08T00:29:00.000,120,light
2021-11-08T00:31:00.000,600,wake
2021-11-08T00:41:00.000,3930,light
2021-11-08T01:46:30.000,1110,rem
2021-11-08T02:05:00.000,630,light
2021-11-08T02:15:30.000,330,wake
2021-11-08T02:21:00.000,180,light
2021-11-08T02:24:00.000,2190,deep
2021-11-08T03:00:30.000,1170,light
2021-11-08T03:20:00.000,300,rem
2021-11-08T03:25:00.000,3030,light
2021-11-08T04:15:30.000,900,deep
2021-11-08T04:30:30.000,450,light
2021-11-08T04:38:00.000,300,deep
2021-11-08T04:43:00.000,810,light
2021-11-08T04:56:30.000,450,rem
2021-11-08T05:04:00.000,300,light
2021-11-08T05:09:00.000,1860,rem
2021-11-08T05:40:00.000,3180,light
2021-11-08T06:33:00.000,1470,rem
2021-11-08T06:57:30.000,3150,light
2021-11-08T07:50:00.000,270,deep
2021-11-08T07:54:30.000,390,light
2021-11-08T08:01:00.000,480,rem
2021-11-08T08:09:00.000,300,wake
2021-11-08T08:14:00.000,270,light
2021-11-08T08:18:30.000,750,wake
2021-11-08T08:31:00.000,60,light
