dateTime,Duration,State
2020-09-05T01:24:30.000,2550,wake
2020-09-05T02:07:00.000,90,light
2020-09-05T02:08:30.000,2940,deep
2020-09-05T02:57:30.000,840,light
2020-09-05T03:11:30.000,420,rem
2020-09-05T03:18:30.000,1650,light
2020-09-05T03:46:00.000,990,deep
2020-09-05T04:02:30.000,1620,light
2020-09-05T04:29:30.000,990,rem
2020-09-05T04:46:00.000,3540,light
2020-09-05T05:45:00.000,1770,rem
2020-09-05T06:14:30.000,1740,light
2020-09-05T06:43:30.000,1470,deep
2020-09-05T07:08:00.000,450,light
2020-09-05T07:15:30.000,2700,rem
2020-09-05T08:00:30.000,3420,light
2020-09-05T08:57:30.000,540,wake
