dateTime,Duration,State
2020-10-29T23:09:00.000,840,wake
2020-10-29T23:23:00.000,270,light
2020-10-29T23:27:30.000,3690,deep
2020-10-30T00:29:00.000,810,light
2020-10-30T00:42:30.000,300,rem
2020-10-30T00:47:30.000,960,light
2020-10-30T01:03:30.000,810,deep
2020-10-30T01:17:00.000,3570,light
2020-10-30T02:16:30.000,1200,rem
2020-10-30T02:36:30.000,2970,light
2020-10-30T03:26:00.000,780,deep
2020-10-30T03:39:00.000,420,light
2020-10-30T03:46:00.000,2010,rem
2020-10-30T04:19:30.000,3240,light
2020-10-30T05:13:30.000,1680,rem
2020-10-30T05:41:30.000,60,light
2020-10-30T05:42:30.000,330,wake
2020-10-30T05:48:00.000,300,light
2020-10-30T05:53:00.000,300,rem
2020-10-30T05:58:00.000,1680,light
2020-10-30T06:26:00.000,2760,rem
2020-10-30T07:12:00.000,1260,light
2020-10-30T07:33:00.000,420,deep
2020-10-30T07:40:00.000,1140,light
