dateTime,Duration,State
2021-02-18T00:39:00.000,1020,wake
2021-02-18T00:56:00.000,480,light
2021-02-18T01:04:00.000,3060,deep
2021-02-18T01:55:00.000,180,light
2021-02-18T01:58:00.000,330,rem
2021-02-18T02:03:30.000,1680,light
2021-02-18T02:31:30.000,270,rem
2021-02-18T02:36:00.000,330,light
2021-02-18T02:41:30.000,420,wake
2021-02-18T02:48:30.000,1470,light
2021-02-18T03:13:00.000,300,rem
2021-02-18T03:18:00.000,1410,light
2021-02-18T03:41:30.000,450,wake
2021-02-18T03:49:00.000,1350,light
2021-02-18T04:11:30.000,780,deep
2021-02-18T04:24:30.000,930,light
2021-02-18T04:40:00.000,1080,rem
2021-02-18T04:58:00.000,420,wake
2021-02-18T05:05:00.000,900,light
2021-02-18T05:20:00.000,2640,deep
2021-02-18T06:04:00.000,1560,rem
2021-02-18T06:30:00.000,420,light
2021-02-18T06:37:00.000,1350,rem
2021-02-18T06:59:30.000,3720,light
2021-02-18T08:01:30.000,1260,rem
